TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,Quan,Gia,Gia_m2,DienTich_m2
1, 2 phòng, 2 phòng,2,2,0,9,9,0,Quận 7,2.0,0.03226,62.0
1, 3 phòng, 2 phòng,2,1,3,9,9,1,Quận 7,5.3,0.05579,95.0
0, 2 phòng, 2 phòng,2,0,0,5,5,0,Quận Bình Tân,2.58,0.0344,75.0
1, 1 phòng, 1 phòng,2,1,3,5,8,0,Quận Tân Bình,4.0,0.05714,70.0
1, 2 phòng, 2 phòng,2,2,3,8,9,0,Quận 6,2.95,0.03554,83.0
1, 2 phòng, 1 phòng,2,1,0,9,9,0,Quận 8,1.98,0.02789,71.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Quận Bình Thạnh,2.72,0.038310000000000004,71.0
1, 2 phòng, 2 phòng,2,1,0,9,9,0,Huyện Bình Chánh,2.59,0.03321,78.0
1, 1 phòng, 1 phòng,2,2,1,3,4,0,Quận Bình Tân,1.39,0.027800000000000002,50.0
1, 1 phòng, 1 phòng,2,2,0,9,9,0,Huyện Hóc Môn,0.15,0.00375,40.0
1, 3 phòng, 2 phòng,2,0,0,9,9,0,Quận Bình Tân,1.95,0.025,78.0
0, 1 phòng, 1 phòng,2,0,0,9,9,0,Thành phố Thủ Đức,0.955,0.02221,43.0
1, 2 phòng, 1 phòng,2,1,0,9,9,0,Thành phố Thủ Đức,1.99,0.033729999999999996,59.0
1, 4 phòng, 4 phòng,1,1,0,6,7,0,Thành phố Thủ Đức,4.5,0.05625,80.0
1, 2 phòng, 1 phòng,2,0,3,9,9,0,Thành phố Thủ Đức,2.07,0.03508,59.0
1, 2 phòng, 2 phòng,2,2,1,5,1,0,Thành phố Thủ Đức,1.8,0.02903,62.0
1, 2 phòng, 2 phòng,2,0,3,8,5,0,Quận 10,5.6,0.06437000000000001,87.0
1, 3 phòng, 3 phòng,2,2,0,9,9,0,Thành phố Thủ Đức,2.4,0.025,96.0
1, 2 phòng, 2 phòng,2,1,3,7,6,0,Quận Bình Thạnh,4.5,0.05422,83.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Nhà Bè,3.515,0.04235,83.0
1, 1 phòng, 1 phòng,2,2,2,1,1,0,Quận Bình Tân,1.395,0.027899999999999998,50.0
1, 1 phòng, 1 phòng,2,0,0,9,9,0,Quận Bình Thạnh,3.0,0.05357,56.0
1, 2 phòng, 1 phòng,2,2,1,2,9,1,Quận 12,1.7,0.03333,51.0
0, 2 phòng, 2 phòng,2,1,3,6,7,0,Quận 8,2.336,0.03487,67.62
0, 2 phòng, 2 phòng,2,0,1,9,9,0,Quận 8,1.78,0.02618,68.0
1, 2 phòng, 2 phòng,2,2,3,8,9,0,Quận 6,2.95,0.03554,83.0
1, 3 phòng, 2 phòng,2,1,0,5,9,1,Quận 10,5.7,0.06404,89.0
1, 2 phòng, 2 phòng,2,0,0,9,9,0,Huyện Bình Chánh,1.5,0.02727,55.0
