TinhTrangBDS,PhongNgu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,CanGoc,DienTich_m2,Gia,Quan,Gia_m2,TongPhong,DienTich_per_Phong,TyLe_Ngu_Tam,Log_Gia
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,62.0,2.0,Khác,0.03225806451612903,4.0,20.666666666666668,0.6666666666666666,1.0986122886681098
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp,Khác,Khác,Phải,95.0,5.3,Khác,0.05578947368421053,5.0,23.75,1.0,1.840549633397487
 Chưa bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô, Đông Nam, Đông Nam,KXĐ,75.0,2.58,Quận Bình Tân,0.0344,4.0,25.0,0.6666666666666666,1.275362800412609
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Đông Nam, Tây Bắc,KXĐ,70.0,4.0,Quận Tân Bình,0.05714285714285714,2.0,35.0,0.5,1.6094379124341003
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cao cấp, Tây Bắc,Khác,KXĐ,83.0,2.95,Khác,0.035542168674698796,4.0,27.666666666666668,0.6666666666666666,1.3737155789130306
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,71.0,1.98,Khác,0.02788732394366197,3.0,23.666666666666668,1.0,1.091923300517313
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,71.0,2.72,Quận Bình Thạnh,0.03830985915492958,4.0,23.666666666666668,0.6666666666666666,1.3137236682850553
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,78.0,2.59,Huyện Bình Chánh,0.033205128205128207,4.0,26.0,0.6666666666666666,1.2781522025001875
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đã có sổ,Cơ bản, Nam, Bắc,KXĐ,50.0,1.39,Quận Bình Tân,0.0278,2.0,25.0,0.5,0.8712933659434193
 Đã bàn giao,1.0,1.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,40.0,0.15,Huyện Hóc Môn,0.00375,2.0,20.0,0.5,0.1397619423751587
 Đã bàn giao,3.0,2.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,78.0,1.95,Quận Bình Tân,0.024999999999999998,5.0,19.5,1.0,1.0818051703517284
 Chưa bàn giao,1.0,1.0,Loại Chung Cư, Giấy tờ khác,Thô,Khác,Khác,KXĐ,43.0,0.9550000000000001,Thành phố Thủ Đức,0.022209302325581395,2.0,21.5,0.5,0.6703901934373291
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Đang chờ sổ,Thô,Khác,Khác,KXĐ,59.0,1.99,Thành phố Thủ Đức,0.033728813559322036,3.0,19.666666666666668,1.0,1.095273387402595
 Đã bàn giao,4.0,4.0,Loại Văn Phòng, Đang chờ sổ,Thô, Đông Bắc, Tây Nam,KXĐ,80.0,4.5,Thành phố Thủ Đức,0.05625,8.0,16.0,0.8,1.7047480922384253
 Đã bàn giao,2.0,1.0,Loại Chung Cư, Giấy tờ khác,Cao cấp,Khác,Khác,KXĐ,59.0,2.07,Thành phố Thủ Đức,0.03508474576271186,3.0,19.666666666666668,1.0,1.1216775615991057
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đã có sổ,Cơ bản, Đông Nam, Đông,KXĐ,62.0,1.8,Thành phố Thủ Đức,0.02903225806451613,4.0,20.666666666666668,0.6666666666666666,1.0296194171811581
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Giấy tờ khác,Cao cấp, Tây Bắc, Đông Nam,KXĐ,87.0,5.6,Khác,0.06436781609195402,4.0,29.0,0.6666666666666666,1.8870696490323797
 Đã bàn giao,3.0,3.0,Loại Chung Cư, Đã có sổ,Thô,Khác,Khác,KXĐ,96.0,2.4,Thành phố Thủ Đức,0.024999999999999998,6.0,24.0,0.75,1.2237754316221157
 Đã bàn giao,2.0,2.0,Loại Chung Cư, Đang chờ sổ,Cao cấp, Tây Nam, Đông Bắc,KXĐ,83.0,4.5,Quận Bình Thạnh,0.05421686746987952,4.0,27.666666666666668,0.6666666666666666,1.7047480922384253
